CONNECTION_DEFINITION_TABLE
CONNECTION,_clk_to_control_unit_1_clk,,clk,control_unit_1,clk
CONNECTION,_rst_n_to_control_unit_1_rst_n,,rst_n,control_unit_1,rst_n
CONNECTION,_PSEL_to_control_unit_1_PSEL,,PSEL,control_unit_1,PSEL
CONNECTION,_PENABLE_to_control_unit_1_PENABLE,,PENABLE,control_unit_1,PENABLE
CONNECTION,_PWRITE_to_control_unit_1_PWRITE,,PWRITE,control_unit_1,PWRITE
CONNECTION,_PADDR_to_control_unit_1_PADDR,,PADDR,control_unit_1,PADDR
CONNECTION,_PWDATA_to_control_unit_1_PWDATA,,PWDATA,control_unit_1,PWDATA
CONNECTION,_req_to_control_unit_1_req_in,,req,control_unit_1,req_in
CONNECTION,control_unit_1_PRDATA_to__PRDATA,control_unit_1,PRDATA,,PRDATA
CONNECTION,control_unit_1_PSLVERR_to__PSLVERR,control_unit_1,PSLVERR,,PSLVERR
CONNECTION,control_unit_1_PREADY_to__PREADY,control_unit_1,PREADY,,PREADY
CONNECTION,control_unit_1_irq_out_to__irq_out,control_unit_1,irq_out,,irq_out
CONNECTION,control_unit_1_cfg_reg_out_to__cfg_reg,control_unit_1,cfg_reg_out,,cfg_reg
CONNECTION,control_unit_1_level_reg_out_to__level_reg,control_unit_1,level_reg_out,,level_reg
CONNECTION,control_unit_1_dsp_regs_out_to__dsp_regs,control_unit_1,dsp_regs_out,,dsp_regs
CONNECTION,control_unit_1_cfg_out_to__cfg,control_unit_1,cfg_out,,cfg
CONNECTION,control_unit_1_clr_out_to__clr,control_unit_1,clr_out,,clr
CONNECTION,control_unit_1_level_out_to__level,control_unit_1,level_out,,level
CONNECTION,control_unit_1_tick_out_to__tick,control_unit_1,tick_out,,tick
CONNECTION,control_unit_1_audio0_out_to__audio0,control_unit_1,audio0_out,,audio0
CONNECTION,control_unit_1_audio1_out_to__audio1,control_unit_1,audio1_out,,audio1
CONNECTION,control_unit_1_play_out_to__play,control_unit_1,play_out,,play
CONNECTION,_clk_to_dsp_unit_1_clk,,clk,dsp_unit_1,clk
CONNECTION,_rst_n_to_dsp_unit_1_rst_n,,rst_n,dsp_unit_1,rst_n
CONNECTION,_audio0_to_dsp_unit_1_audio0_in,,audio0,dsp_unit_1,audio0_in
CONNECTION,_audio1_to_dsp_unit_1_audio1_in,,audio1,dsp_unit_1,audio1_in
CONNECTION,_tick_to_dsp_unit_1_tick_in,,tick,dsp_unit_1,tick_in
CONNECTION,_cfg_to_dsp_unit_1_cfg_in,,cfg,dsp_unit_1,cfg_in
CONNECTION,_cfg_reg_to_dsp_unit_1_cfg_reg_in,,cfg_reg,dsp_unit_1,cfg_reg_in
CONNECTION,_dsp_regs_to_dsp_unit_1_dsp_regs_in,,dsp_regs,dsp_unit_1,dsp_regs_in
CONNECTION,_level_to_dsp_unit_1_level_in,,level,dsp_unit_1,level_in
CONNECTION,_level_reg_to_dsp_unit_1_level_reg_in,,level_reg,dsp_unit_1,level_reg_in
CONNECTION,_clr_to_dsp_unit_1_clr_in,,clr,dsp_unit_1,clr_in
CONNECTION,dsp_unit_1_audio0_out_to__daudio0,dsp_unit_1,audio0_out,,daudio0
CONNECTION,dsp_unit_1_audio1_out_to__daudio1,dsp_unit_1,audio1_out,,daudio1
CONNECTION,dsp_unit_1_tick_out_to__dtick,dsp_unit_1,tick_out,,dtick
CONNECTION,_clk_to_cdc_unit_1_clk,,clk,cdc_unit_1,clk
CONNECTION,_rst_n_to_cdc_unit_1_rst_n,,rst_n,cdc_unit_1,rst_n
CONNECTION,_daudio0_to_cdc_unit_1_audio0_in,,daudio0,cdc_unit_1,audio0_in
CONNECTION,_daudio1_to_cdc_unit_1_audio1_in,,daudio1,cdc_unit_1,audio1_in
CONNECTION,_dtick_to_cdc_unit_1_tick_in,,dtick,cdc_unit_1,tick_in
CONNECTION,_play_to_cdc_unit_1_play_in,,play,cdc_unit_1,play_in
CONNECTION,_mclk_to_cdc_unit_1_mclk,,mclk,cdc_unit_1,mclk
CONNECTION,_mreq_to_cdc_unit_1_req_in,,mreq,cdc_unit_1,req_in
CONNECTION,_test_mode_in_to_cdc_unit_1_test_mode_in,,test_mode_in,cdc_unit_1,test_mode_in
CONNECTION,cdc_unit_1_muxclk_out_to__muxclk,cdc_unit_1,muxclk_out,,muxclk
CONNECTION,cdc_unit_1_muxrst_n_out_to__muxrst_n,cdc_unit_1,muxrst_n_out,,muxrst_n
CONNECTION,cdc_unit_1_audio0_out_to__maudio0,cdc_unit_1,audio0_out,,maudio0
CONNECTION,cdc_unit_1_audio1_out_to__maudio1,cdc_unit_1,audio1_out,,maudio1
CONNECTION,cdc_unit_1_tick_out_to__mtick,cdc_unit_1,tick_out,,mtick
CONNECTION,cdc_unit_1_play_out_to__mplay,cdc_unit_1,play_out,,mplay
CONNECTION,cdc_unit_1_req_out_to__req,cdc_unit_1,req_out,,req
CONNECTION,_muxclk_to_i2s_unit_1_clk,,muxclk,i2s_unit_1,clk
CONNECTION,_muxrst_n_to_i2s_unit_1_rst_n,,muxrst_n,i2s_unit_1,rst_n
CONNECTION,_mplay_to_i2s_unit_1_play_in,,mplay,i2s_unit_1,play_in
CONNECTION,_maudio0_to_i2s_unit_1_audio0_in,,maudio0,i2s_unit_1,audio0_in
CONNECTION,_maudio1_to_i2s_unit_1_audio1_in,,maudio1,i2s_unit_1,audio1_in
CONNECTION,_mtick_to_i2s_unit_1_tick_in,,mtick,i2s_unit_1,tick_in
CONNECTION,i2s_unit_1_req_out_to__mreq,i2s_unit_1,req_out,,mreq
CONNECTION,i2s_unit_1_sck_out_to__sck_out,i2s_unit_1,sck_out,,sck_out
CONNECTION,i2s_unit_1_ws_out_to__ws_out,i2s_unit_1,ws_out,,ws_out
CONNECTION,i2s_unit_1_sdo_out_to__sdo_out,i2s_unit_1,sdo_out,,sdo_out
